serialno,bld,rntp,ybl
2013000868765,6,3600,8
2013000868842,3,590,1
2013000869063,4,1800,1
2013000869455,9,1200,1
2013000872411,5,1300,12
2013000875501,8,3200,8
2013000877236,4,2000,7
2013000879410,3,950,4
2013000880167,9,600,1
2013000880795,9,800,12
2013000882089,6,2500,1
2013000882178,5,2300,1
2013000882848,4,1000,14
2013000883133,6,1900,3
2013000883353,5,2500,1
2013000883529,2,2800,1
2013000884269,5,3000,6
2013000885200,8,2000,1
2013000887497,4,2000,3
2013000888419,5,1500,1
2013000888605,4,1000,3
2013000889357,9,280,5
2013000889740,4,1000,1
2013000891656,2,1900,4
2013000891892,5,1400,1
2013000893841,2,1400,2
2013000894017,8,2500,5
2013000897055,5,1500,4
2013000897240,9,420,9
2013000898181,8,1200,1
2013000900104,8,1400,1
2013000900230,9,1800,4
2013000902138,3,1100,1
2013000903616,5,1100,2
2013000904054,9,3600,7
2013000904187,3,3600,1
2013000904411,5,1000,3
2013000905150,8,400,7
2013000905378,5,2500,1
2013000905642,2,800,3
2013000906224,6,1600,1
2013000906581,3,170,4
2013000907371,5,390,13
2013000908394,5,1600,1
2013000908534,4,3600,1
2013000909726,9,370,8
2013000910244,6,2000,1
2013000912056,5,1900,1
2013000912227,8,1300,1
2013000913679,6,3000,1
2013000913988,6,1200,5
2013000916194,6,1800,1
2013000917750,9,740,1
2013000918079,5,2000,3
2013000919198,5,1500,1
2013000920200,8,3000,1
2013000920322,6,900,1
2013000920674,4,1000,4
2013000921334,5,1600,3
2013000922186,6,3600,1
2013000922627,5,1700,1
2013000923109,3,1400,11
2013000924819,4,2000,1
2013000925115,6,1600,1
2013000925500,5,1700,2
2013000925854,2,350,1
2013000928200,6,1700,1
2013000929214,9,1800,7
2013000930516,4,630,4
2013000932944,9,260,7
2013000933146,5,1100,4
2013000935098,6,2100,1
2013000937210,5,2600,3
2013000938138,2,2900,1
2013000940822,5,500,1
2013000942156,9,1300,8
2013000942741,8,400,1
2013000943347,9,490,1
2013000944079,8,270,1
2013000946296,6,2300,1
2013000947477,3,1200,6
2013000948057,6,1800,1
2013000948227,9,1300,9
2013000948288,4,2500,1
2013000948779,9,1600,1
2013000949230,6,240,2
2013000949385,4,800,2
2013000949867,9,270,7
2013000952353,6,2600,1
2013000952533,4,1600,1
2013000952651,4,3000,1
2013000953850,3,800,1
2013000954468,8,1400,1
2013000954908,9,960,10
2013000954935,9,200,1
2013000955309,4,2300,2
2013000956069,4,2000,2
2013000957740,9,980,1
2013000958844,5,780,5
2013000960228,4,680,1
2013000960695,2,1700,1
2013000960994,4,3600,1
2013000962830,3,1200,6
2013000963980,5,1500,1
2013000964691,8,860,1
2013000965631,4,1300,1
2013000965711,8,1200,1
2013000967125,9,1300,1
2013000967521,8,1200,1
2013000968784,5,1900,7
2013000969045,8,2900,8
2013000969483,9,90,1
2013000970419,4,1500,3
2013000970689,5,1300,2
2013000971790,6,970,1
2013000973155,8,1500,1
2013000973778,9,780,7
2013000974743,5,1600,4
2013000975320,9,1400,8
2013000977103,2,2200,1
2013000977146,6,1800,1
2013000977617,6,1500,5
2013000977635,8,2500,3
2013000977701,5,680,6
2013000978525,6,1400,1
2013000979372,8,1100,1
2013000979555,8,1300,2
2013000979660,5,1500,1
2013000980143,9,1100,4
2013000980762,5,1400,3
2013000980929,8,1200,2
2013000983553,8,1800,1
2013000983673,9,430,1
2013000984655,6,440,1
2013000986863,8,1000,2
2013000987962,8,690,2
2013000988962,5,3600,6
2013000989518,2,2700,1
2013000991359,5,1900,1
2013000992716,2,1800,1
2013000996775,2,750,5
2013000997188,5,1500,2
2013000998341,6,1000,6
2013000998499,8,1300,1
2013000998634,6,850,1
2013000999501,8,2700,8
2013001000696,5,1700,1
2013001005261,6,1400,1
2013001005498,5,1400,1
2013001005837,6,1000,1
2013001006421,6,1900,5
2013001006775,5,2300,4
2013001009834,3,2400,1
2013001010266,6,1500,1
2013001010448,8,2600,1
2013001013597,2,2500,4
2013001013969,6,1900,5
2013001014208,3,1800,6
2013001014384,5,800,3
2013001014630,2,680,2
2013001015301,9,130,7
2013001015398,9,1700,6
2013001016366,3,800,1
2013001016565,9,2500,8
2013001017578,8,1600,3
2013001017643,5,870,1
2013001017855,8,1800,3
